CP, 01, 2026081212, 03,  UKX, 108, 214N, 1624W,  38,    0, XX,  34, NEQ,  105,    0,    0,   83, 
CP, 01, 2026081212, 03,  UKX, 114, 217N, 1639W,  37,    0, XX,  34, NEQ,   89,    0,    0,   89, 
CP, 01, 2026081212, 03,  UKX, 120, 219N, 1653W,  36,    0, XX,  34, NEQ,   75,    0,    0,   74, 
CP, 01, 2026081212, 03,  UKX, 126, 219N, 1664W,  37,    0, XX,  34, NEQ,   98,    0,    0,   95, 
CP, 01, 2026081212, 03,  UKX, 132, 222N, 1675W,  39,    0, XX,  34, NEQ,   85,    0,    0,   82, 
CP, 01, 2026081212, 03,  UKX, 138, 225N, 1685W,  43,    0, XX,  34, NEQ,   93,   72,    0,   80, 
CP, 01, 2026081212, 03,  UKX, 144, 229N, 1696W,  47,    0, XX,  34, NEQ,   89,   79,    0,   81, 
CP, 01, 2026081212, 03, AC00,   0, 140N, 1415W,  32, 1002, XX,  34, NEQ,  226,    0,    0,    0, 
CP, 01, 2026081212, 03, AC00,   6, 137N, 1425W,  29, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03, AC00,  12, 134N, 1425W,  32, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03, AC00,  18, 150N, 1430W,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03, AC00,  24, 156N, 1442W,  34, 1001, XX,  34, NEQ,  133,    0,    0,    0, 
CP, 01, 2026081212, 03, AC00,  30, 160N, 1451W,  35, 1002, XX,  34, NEQ,  172,    0,    0,   69, 
CP, 01, 2026081212, 03, AC00,  36, 164N, 1457W,  37, 1000, XX,  34, NEQ,  164,    0,    0,    0, 
CP, 01, 2026081212, 03, AC00,  42, 166N, 1469W,  33, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03, AC00,  48, 166N, 1483W,  33,  999, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03, AC00,  54, 171N, 1491W,  33, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2026081212, 03, AC00,  60, 177N, 1504W,  35, 1000, XX,  34, NEQ,   86,    0,    0,   53, 
CP, 01, 2026081212, 03, AC00,  66, 180N, 1515W,  40,  998, XX,  34, NEQ,   97,    0,    0,   96, 
CP, 01, 2026081212, 03, AC00,  72, 180N, 1526W,  45,  996, XX,  34, NEQ,   97,    0,    0,   74, 
CP, 01, 2026081212, 03, AC00,  78, 183N, 1535W,  48,  996, XX,  34, NEQ,  120,   62,   58,  196, 
CP, 01, 2026081212, 03, AC00,  84, 185N, 1544W,  50,  991, XX,  34, NEQ,  104,   59,   55,  173, 
CP, 01, 2026081212, 03, AC00,  84, 185N, 1544W,  50,  991, XX,  50, NEQ,   38,    0,    0,    0, 
